marker,cyclone_id,forecast_time,horizon_h,member_count,estimator,predicted_vw_exposure,realized_vw_exposure,absolute_error
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-06 12:00:00,24,51,Ensemble probability-weighted,7013.7638327672175,0.0,7013.7638327672175
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-06 18:00:00,24,51,Deterministic mean-track,27824.603307235982,0.0,27824.603307235982
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-06 18:00:00,24,51,P90 envelope,400679.8088200558,0.0,400679.8088200558
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-06 18:00:00,24,51,Ensemble probability-weighted,5458.252088651459,0.0,5458.252088651459
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-07 00:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-07 00:00:00,24,51,P90 envelope,328952.3316327702,0.0,328952.3316327702
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-07 00:00:00,24,51,Ensemble probability-weighted,6425.7065226259,0.0,6425.7065226259
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-07 06:00:00,24,51,Deterministic mean-track,0.0,26230.77531602532,26230.77531602532
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-07 06:00:00,24,51,P90 envelope,259192.56679577296,26230.77531602532,232961.79147974763
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-07 06:00:00,24,51,Ensemble probability-weighted,3873.732732080268,26230.77531602532,22357.04258394505
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-07 12:00:00,24,50,Deterministic mean-track,0.0,24649.485975499745,24649.485975499745
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-07 12:00:00,24,50,P90 envelope,227059.26141837458,24649.485975499745,202409.77544287482
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-07 12:00:00,24,50,Ensemble probability-weighted,6264.329399352822,24649.485975499745,18385.156576146925
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-07 18:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-07 18:00:00,24,51,P90 envelope,304171.01105927484,0.0,304171.01105927484
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-07 18:00:00,24,51,Ensemble probability-weighted,10908.52812435761,0.0,10908.52812435761
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-08 00:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-08 00:00:00,24,51,P90 envelope,362782.01578470616,0.0,362782.01578470616
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-08 00:00:00,24,51,Ensemble probability-weighted,5491.218414739863,0.0,5491.218414739863
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-08 06:00:00,24,51,Deterministic mean-track,0.0,0.0,0.0
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-08 06:00:00,24,51,P90 envelope,357636.4938191459,0.0,357636.4938191459
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-08 06:00:00,24,51,Ensemble probability-weighted,9605.417375755684,0.0,9605.417375755684
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-08 12:00:00,24,51,Deterministic mean-track,90920.27013561917,0.0,90920.27013561917
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-08 12:00:00,24,51,P90 envelope,281743.519567291,0.0,281743.519567291
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-08 12:00:00,24,51,Ensemble probability-weighted,21306.92896343592,0.0,21306.92896343592
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-08 18:00:00,24,51,Deterministic mean-track,0.0,105059.24378372119,105059.24378372119
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-08 18:00:00,24,51,P90 envelope,588029.4837244747,105059.24378372119,482970.2399407535
PROXY_ASSUMPTION_NOT_PUBLICATION_GRADE,FUNG-WONG,2025-11-08 18:00:00,24,51,Ensemble probability-weighted,26286.032011594507,105059.24378372119,78773.21177212668
