storm_id,model,n_windows,mean_err_6h,mean_err_12h,mean_err_24h,mean_err_48h
AL042013,GNO+DynGNN,39,5652.4,5952.7,5038.7,6753.5
AL052013,LSTM,8,3534.1,3403.1,3727.4,3297.9
AL052013,Transformer,8,4686.2,4346.5,5237.2,5181.5
AL052013,GNO+DynGNN,8,3396.0,3582.9,2712.9,4316.2
AL072013,LSTM,24,7042.0,6750.0,6881.0,6202.5
AL072013,Transformer,24,8103.8,7749.7,8392.5,8072.1
AL072013,GNO+DynGNN,24,6812.7,6855.5,5804.5,7186.0
AL092013,LSTM,34,3654.1,3512.3,3605.7,3362.1
AL092013,Transformer,34,4614.0,4307.5,5273.9,5103.4
AL092013,GNO+DynGNN,34,3537.9,3548.8,2795.2,4437.4
AL102013,LSTM,10,9813.0,9452.2,9808.1,9113.2
AL102013,Transformer,10,10971.3,10616.9,11055.5,11056.3
AL102013,GNO+DynGNN,10,9529.2,9632.1,8554.2,9907.8
AL112013,LSTM,21,4991.7,4757.3,4453.1,4012.1
AL112013,Transformer,21,5779.3,5451.1,6298.8,5628.9
AL112013,GNO+DynGNN,21,4842.2,4652.8,3771.9,5128.6
AL122013,LSTM,2,9257.2,8949.5,9213.8,8565.3
AL122013,Transformer,2,10314.5,10019.0,10627.3,10483.7
AL122013,GNO+DynGNN,2,8980.1,9055.6,8049.7,9431.3
AL132013,LSTM,9,5529.1,5253.0,5040.3,4477.8
AL132013,Transformer,9,6343.7,6016.8,6802.1,6214.0
AL132013,GNO+DynGNN,9,5350.8,5182.1,4225.4,5542.6
AL142013,LSTM,14,5815.4,5574.2,5065.6,4589.9
AL142013,Transformer,14,6439.0,6168.7,7014.4,5923.9
AL142013,GNO+DynGNN,14,5652.5,5374.5,4583.4,5668.7
AL152013,LSTM,4,4188.7,4158.1,3447.8,3818.4
AL152013,Transformer,4,4403.2,4355.1,5643.1,5092.9
AL152013,GNO+DynGNN,4,4178.0,3690.8,3404.1,4972.7
AL012014,LSTM,35,7917.5,7673.0,7378.6,7049.5
AL012014,Transformer,35,8500.4,8329.7,9221.5,8623.6
AL012014,GNO+DynGNN,35,7696.7,7462.8,6700.1,8038.4
AL022014,LSTM,5,3803.3,3632.1,4550.5,4075.3
AL022014,Transformer,5,5353.4,4941.0,5542.1,6066.5
AL022014,GNO+DynGNN,5,3616.0,4163.0,3103.4,4887.7
AL032014,LSTM,35,6623.7,6374.3,6567.4,5976.8
AL032014,Transformer,35,7697.5,7372.5,8064.2,7693.8
AL032014,GNO+DynGNN,35,6402.0,6519.6,5565.3,6918.5
AL042014,LSTM,27,7106.7,6888.1,6432.0,6397.1
AL042014,Transformer,27,7570.8,7412.3,8354.3,7659.5
AL042014,GNO+DynGNN,27,6941.7,6619.7,6024.3,7386.3
AL052014,LSTM,1,9964.6,9662.3,10004.1,9476.2
AL052014,Transformer,1,11083.2,10808.9,11277.9,11446.2
AL052014,GNO+DynGNN,1,9684.4,9825.8,8739.1,10278.8
AL062014,LSTM,35,5468.3,5260.6,5094.3,4717.7
AL062014,Transformer,35,6198.8,5973.1,6863.6,6330.6
AL062014,GNO+DynGNN,35,5314.7,5174.5,4423.0,5711.8
AL072014,LSTM,2,6855.5,6601.3,6683.9,5794.7
AL072014,Transformer,2,7863.9,7563.1,8309.7,7583.1
AL072014,GNO+DynGNN,2,6626.4,6682.9,5739.2,6781.8
AL082014,LSTM,27,6804.4,6484.4,6724.7,6058.2
AL082014,Transformer,27,7877.6,7543.3,8112.1,7808.2
AL082014,GNO+DynGNN,27,6568.0,6654.1,5675.5,6857.8
AL092014,LSTM,25,8866.2,8466.4,8873.3,7821.8
AL092014,Transformer,25,10184.5,9717.9,9949.4,9801.1
AL092014,GNO+DynGNN,25,8614.5,8754.4,7480.1,8618.6
AL012015,LSTM,16,8194.7,7918.8,7882.3,7246.7
AL012015,Transformer,16,9015.7,8784.0,9551.9,9058.2
AL012015,GNO+DynGNN,16,7937.5,7857.8,6914.9,8220.5
AL022015,LSTM,10,9901.5,9592.2,9358.4,8414.0
AL022015,Transformer,10,10649.2,10410.5,11080.2,10211.7
AL022015,GNO+DynGNN,10,9619.4,9451.4,8415.3,9418.8
AL032015,LSTM,3,7523.2,7178.2,6653.4,6135.0
AL032015,Transformer,3,8179.4,7851.8,8582.7,7689.3
AL032015,GNO+DynGNN,3,7288.8,6965.6,5947.3,7241.0
AL042015,LSTM,19,4320.0,4054.4,4843.0,4207.5
AL042015,Transformer,19,5776.7,5334.4,5861.3,6182.8
AL042015,GNO+DynGNN,19,4111.4,4540.4,3451.7,4936.7
AL052015,LSTM,4,5643.4,5442.3,6203.1,5787.8
AL052015,Transformer,4,7025.8,6681.3,7308.8,7767.2
AL052015,GNO+DynGNN,4,5429.2,5846.6,4857.1,6576.9
AL062015,LSTM,19,3302.1,3181.2,3375.1,3121.9
AL062015,Transformer,19,4318.3,4004.9,4984.5,4937.5
AL062015,GNO+DynGNN,19,3195.3,3252.5,2502.9,4170.2
AL072015,LSTM,5,3100.0,2935.1,3713.1,3350.2
AL072015,Transformer,5,4485.8,4092.9,4878.5,5323.2
AL072015,GNO+DynGNN,5,2933.7,3337.8,2394.3,4177.6
AL082015,LSTM,1,6586.7,6313.6,6278.5,5856.1
AL082015,Transformer,1,7438.7,7148.9,7979.1,7616.4
AL082015,GNO+DynGNN,1,6372.4,6273.4,5359.8,6905.5
AL092015,LSTM,7,4422.3,4140.3,4623.2,3867.2
AL092015,Transformer,7,5812.8,5326.4,5841.1,5817.3
